Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update
Stop Being Lonely. Find the Love of Your Life with EFT,www.udemy.com/course/love-of-your-life-eft/,Scott Paton,144.99,11.99,4.8(14 ratings),Personal Development,Parenting & Relationships,EFT,"1,267",English,"Joan Kaylor teaches you EFT For Relationships, For Ladies Only with Emotional Freedom Technique",6/2019
Learn Positive EFT and Positive Meridian Energy Tapping,www.udemy.com/course/learn-positive-eft-and-positive-meridian-energy-tapping/,Dominick L. Flarey,74.99,11.99,4.4(11 ratings),Personal Development,Personal Transformation,EFT,59,English,"""Transform Your Life With Positive EFT & Meridian Energy Tapping"" Learn to Live on the ""Positive"" Side of Life!",11/2017
Learn EFT Energy Meridian Tapping: From Basics to Intermedia,www.udemy.com/course/learn-eft-energy-meridian-tapping-from-basics-to-intermedia/,Dominick L. Flarey,49.99,11.99,4.5(30 ratings),Personal Development,Personal Transformation,EFT,252,English,"""Transform Your Life By Energy Meridian Tapping""",8/2017
Learn EFT & Meridian Tapping: The Beginner's Tool Box,www.udemy.com/course/learn-eft-meridian-tapping-the-beginners-tool-box/,Dominick L. Flarey,39.99,11.99,4.0(3 ratings),Personal Development,Personal Transformation,EFT,24,English,"""Learn How to do EFT & Meridian Tapping in this Introductory Course""",11/2017
Learn Emotional Freedom Technique and Thought Field Therapy,www.udemy.com/course/learn-emotional-freedom-technique-and-thought-field-therapy/,"Jef Gazley, M.S., LMFT",19.99,11.39,4.4(14 ratings),Health & Fitness,Mental Health,EFT,173,English,"This course contains lecture and video demos to learn these techniques, and they are for anyone. including clinicians.",1/2013
EFT Your Trichotillomania,www.udemy.com/course/eft-chakra-clearing-for-hair-pulling-2/,Scott Paton,199.99,11.39,4.0(2 ratings),Health & Fitness,Mental Health,EFT,664,English,Advanced Techniques for Dealing with Body Focused Repetitive Behaviours,6/2019
Call on Angels to help with EFT ,www.udemy.com/course/call-in-the-angels-to-help-using-emotional-freedom-technique/,Alan Kirwan,34.99,11.39,4.5(27 ratings),Personal Development,Religion & Spirituality,EFT,"1,004",English,Learn EFT a easy to learn technique to call on the Angels to help you make positive changes to your life while using EFT,9/2016
The EFT Learning Series: How EFT Works,www.udemy.com/course/the-eft-learning-series-how-eft-works/,Dominick L. Flarey,39.99,11.39,4.7(19 ratings),Health & Fitness,Mental Health,EFT,70,English,The Emotional Freedom Technique,1/2018
KiddyTap™ - Teach your kids to thrive with EFT,www.udemy.com/course/kiddytap-teach-your-kids-to-thrive-with-eft/,Desireé Lüpke-Read,49.99,11.39,3.8(7 ratings),Health & Fitness,Mental Health,EFT,29,English,EFT Tapping Tools for All Kids - Babies to Teens,7/2019
ProTap™ - Enhance your life with EFT,www.udemy.com/course/enhance-your-life-with-eft/,Desireé Lüpke-Read,94.99,11.39,1.5(1 rating),Health & Fitness,Mental Health,EFT,38,English,Gain the Emotional Freedom Technique Tapping tools to live your best life from Beginner to Professional!,7/2019
EFT Weight Loss - Tapping into Exercise,www.udemy.com/course/eft-weight-loss-tapping-into-exercise/,Scott Paton,94.99,11.39,3.7(20 ratings),Health & Fitness,Fitness,Weight Loss,"7,600",English,Discover How Emotion Freedom Techniques Can Help You Tap Away Your Challenges to Start and Keep Exercising For Health,6/2019
EFT for Stock Options Trading Success & Making Better Trades,www.udemy.com/course/eft-for-stock-option-trading-success/,Scott Paton,94.99,11.39,3.7(23 ratings),Business,Finance,Stock Trading,"5,152",English,Learn how your emotions can support your Stock Option Daytrading success. Stop Self-Sabotaging Behaviors,6/2019
Emotional Freedom Technique (EFT) to Get Happy & Healthy Now,www.udemy.com/course/learn-eft-tapping-in-6-easy-steps/,Emma E Knapp,49.99,11.39,4.3(55 ratings),Personal Development,Happiness,EFT,"1,717",English,"My step by step guide to learn this do-it-yourself technique to address unhappiness, depression, weight gain, anxiety.",6/2015
Stop Panic Attacks Today with EFT,www.udemy.com/course/eft-for-panic-attacks/,Alan Kirwan,34.99,11.39,4.6(7 ratings),Personal Development,Stress Management,EFT,"2,416",English,EFT is amazingly simple tapping technique used world wide by qualified therapist and ordinary people for rapid results,10/2019
EFT: Emotional Mastery with EFT Tapping Therapy for (2019),www.udemy.com/course/emotional-mastery-with-eft/,Alan Kirwan,34.99,11.39,4.4(48 ratings),Personal Development,Personal Transformation,EFT,"2,151",English,Learn the power of EFT - Emotional Freedom Technique for Destroying bad feelings that hold you back in life with EFT,9/2018
EFT Weight Loss Emotional Eating Issues - No Diet,www.udemy.com/course/eft-weight-loss-emotional-eating/,Scott Paton,94.99,11.39,3.4(59 ratings),Health & Fitness,General Health,Weight Loss,"10,238",English,"You know you have to exercise, and you have to eat better. But you don't. Why? It's because of what goes on in your head",6/2019
Tap to Heal- Learn EFT,www.udemy.com/course/tap-to-heal-learn-eft/,Louise Kane Buckley,59.99,18.99,5.0(1 rating),Health & Fitness,Mental Health,EFT,13,English,Learn EFT quickly and easily. Grow in confidence and have motivation to be the best version of you.,10/2018
Scientific EFT Tapping,www.udemy.com/course/emotional-freedom-technique/,Matt Peplinski,44.99,11.39,4.2(12 ratings),Health & Fitness,Mental Health,EFT,"1,881",English,Learn how to use Tapping to help others and yourself with your mental problems!,6/2019
Healing Relationships with EFT,www.udemy.com/course/healing-relationships-with-eft/,Scott Paton,19.99,11.39,3.9(28 ratings),Personal Development,Parenting & Relationships,EFT,"12,995",English,How to Have Loving Long Term Relationships Without the Drama,6/2019
EFT For Parents of Children Who Pull Hair & Pick Skin,www.udemy.com/course/eft-for-parents-pick-pulling/,Scott Paton,19.99,11.39,3.4(6 ratings),Health & Fitness,Mental Health,EFT,"4,240",English,"Help to deal with all the emotions of having family, who suffer from Trichotillomania and Dermatillomania.",6/2019
EFT for Golf - Improve Your Score. Master the Mental Game,www.udemy.com/course/eft-for-golf-improve-your-score/,Scott Paton,19.99,11.99,4.4(7 ratings),Health & Fitness,Sports,EFT,"4,345",English,"Practical, proven exercises and techniques to super charge your Golf game and make it more fun while cutting strokes.",6/2019
Emotional Freedom Technique for Freedom in Life,www.udemy.com/course/emotional-freedom-technique-for-freedom-in-life/,Robert Murphy,19.99,11.99,4.1(8 ratings),Health & Fitness,General Health,EFT,"1,918",English,How to use EFT to rid yourself of all the issues holding you back!,12/2017
Clear Your Fear of Heights in Just 3 Days (with EFT),www.udemy.com/course/clear-your-fear-of-heights-in-just-3-days-with-eft/,Michael Hetherington,29.99,11.99,4.0(3 ratings),Personal Development,Stress Management,EFT,557,English,Quickly Reduce Anxiety and Stress Triggers So You Can Live a Fuller Life,4/2018
EFT: Easy Pain Management is in Your Hands with EFT Tapping,www.udemy.com/course/stop-reduce-relieve-pain-with-your-mind-and-finger-tips/,Alan Kirwan,34.99,11.99,4.0(21 ratings),Health & Fitness,General Health,Pain Relief,"3,339",English,By the end of this EFT course you will have discovered and experienced pain relief or eliminated pain with EFT Tapping,5/2019
EFT Your Business for Success,www.udemy.com/course/eft-tapping-business-entrepreneurs-success/,Scott Paton,199.99,11.99,4.5(4 ratings),Business,Entrepreneurship,EFT,"2,720",English,Sharpening Your Axe to Gently Cut Through the Self Sabotaging Behaviours Preventing Your Success,6/2019
Website Marketing For EFT Practitioners,www.udemy.com/course/eft-website/,Cathy Goodwin,44.99,11.99,4.8(3 ratings),Marketing,Content Marketing,EFT,12,English,"Enroll More Clients With A Compelling, Professional Website",4/2019
Increase your business success with EFT,www.udemy.com/course/increase-your-business-success-with-eft/,Suzie Flynn,99.99,11.99,0.0(0 ratings),Personal Development,Personal Transformation,EFT,3,English,Teaching you the techniques to be your best in business and in life!,7/2018
EFT Tapping For Personal Peace,www.udemy.com/course/eft-tapping-and-the-personal-peace-procedure/,Patricia Fentie,19.99,11.99,3.5(2 ratings),Personal Development,Personal Transformation, EFT,9,English,Learn an Easy and Methodical Process to Bring Personal Peace and Joy Into Your Life,11/2018
Embracing Financial Freedom,www.udemy.com/course/embracing-financial-freedom/,Rachael Rock,149.99,11.99,4.5(1 rating),Personal Development,Personal Finance,EFT,5,English,Get started on your journey to financial freedom!,2/2019
EFT Your Dentist,www.udemy.com/course/eft-your-dentist/,Scott Paton,199.99,11.99,4.0(2 ratings),Personal Development,Stress Management,EFT,"1,375",English,How to relax at the dentist and get your teeth cleaned and fixed,10/2019
EFT Mastery - Why and How EFT Works,www.udemy.com/course/why-and-how-eft-works/,Mark Johnson,44.99,11.99,3.7(29 ratings),Personal Development,Personal Transformation,EFT,986,English,Develop the skills and understanding to be deeply successful with tapping for emotional freedom.,8/2016
Learn ' EFT' now for positive living ,www.udemy.com/course/learn-eft-now-for-positive-living/,Pradeep Aggarwal,89.99,11.99,3.6(15 ratings),Personal Development,Personal Transformation,EFT,"1,577",English,EFT stands for Emotional Freedom Therapy and it helps you overcome negativity in your life and live positively.,9/2014
Free of PTSD,www.udemy.com/course/free-of-ptsd/,Francesca Molinari,199.99,11.99,0.0(0 ratings),Health & Fitness,Mental Health,EFT,302,English,How to use PTSD events to your advantage to quickly live a life no longer negatively affected by it.,12/2019
EFT Mastery - Be Your Own Trauma Therapist,www.udemy.com/course/eft-mastery/,Mark Johnson,44.99,11.99,4.4(32 ratings),Personal Development,Personal Transformation,EFT,"1,172",English,Go beyond the basics of Emotional Freedom Technique. Learn the subtleties of the method and the tricks of the masters.,3/2015
Let go worries have a happy life with EFT ,www.udemy.com/course/stop-that-worry-is-at-your-finger-tips-with-tapping-therapy/,Alan Kirwan,34.99,11.99,4.3(2 ratings),Personal Development,Happiness,EFT,"1,431",English,Learn EFT a easy to apply technique that will help you eliminate feelings of worry from your mind body and life,1/2015
"Tapping, Talking and Tracking Your Way to Emotional Freedom",www.udemy.com/course/tapping-talking-and-tracking-your-way-to-emotional-freedom/,Barbara Watson,44.99,11.99,5.0(1 rating),Personal Development,Personal Transformation,EFT,3,English,A Comprehensive Grounded and Heart-Centered System with Tracking Worksheet to Help You Tame Your Tension,10/2019
MeTap™ - FastTrack to living your best life with EFT,www.udemy.com/course/metap-fasttrack-to-live-your-best-life-with-eft/,Desireé Lüpke-Read,0.0,Free,4.2(31 ratings),Health & Fitness,Mental Health,EFT,"1,359",English,Fast Track to living your best life with EFT,8/2019
How to use EFT techniques: The  Inclusive Starter Kit.,www.udemy.com/course/how-to-use-eft-techniques-the-inclusive-starter-kit/,Francesca Molinari,0.0,Free,5.0(3 ratings),Personal Development,Personal Transformation,EFT,"1,631",English,Learn the basic techniques you need to truly start tapping every day to achieve your highest potential.,12/2019
EFT Mastery - Relational Tapping,www.udemy.com/course/relational-tapping/,Mark Johnson,0.0,Free,4.0(108 ratings),Personal Development,Parenting & Relationships,EFT,"4,290",English,Resolving Relationship Challenges with Meridian Tapping.,9/2016
O Poder da EFT: Técnica de Liberdade Emocional,www.udemy.com/course/curso-eft-tecnica-liberdade-emocional/,Cassia Fernandes,104.99,11.39,4.4(128 ratings),Desenvolvimento pessoal,Transformação pessoal,EFT,599,Português,Aprenda a aliviar o peso emocional dos acontecimentos indesejáveis e ter mais equilíbrio e saúde.,10/2019
Devenez Praticien en Technique EFT 1/3,www.udemy.com/course/devenez-conseiller-en-technique-eft-1sur3/,Patrick Lelu,199.99,11.39,4.4(5 ratings),Développement personnel,Gestion du stress,EFT,36,Français,Apprenez les bases de la pratique EFT (Emotional Freedom Techniques) - une première partie pour tout public,11/2019
Como usar a EFT e os Florais para tratar estados emocionais,www.udemy.com/course/usandoeftcomflorais/,Valeria Fonseca,39.99,11.39,4.1(25 ratings),Desenvolvimento pessoal,Transformação pessoal,EFT,140,Português,Cure a si mesmo e a outras pessoas,12/2018
Devenez Praticien en Technique EFT 2/3,www.udemy.com/course/devenez-praticien-en-technique-eft-partie2/,Patrick Lelu,199.99,11.39,0.0(0 ratings),Développement personnel,Gestion du stress,EFT,14,Français,Apprenez la maîtrise et la pratique des différentes techniques de l'EFT pour faire de l'accompagnement.,12/2019
TAPPING BÁSICO (EFT) - Técnicas de Liberación Emocional,www.udemy.com/course/cursobasicodetapping/,Feel Good Institute,19.99,11.39,4.5(30 ratings),Desarrollo personal,Transformación personal,EFT,104,Español,"""Aprende la técnica de desarrollo personal más potente y eficaz para liberarte de las emociones que te impiden avanzar""",2/2016
Γίνε Μαγνήτης Αφθονίας!,www.udemy.com/course/magnitisxrimatonseft/,Fotini Kechagia,69.99,11.39,4.7(19 ratings),Personal Development,Personal Finance,EFT,51,Greek,EFT με τη Φωτεινή!,7/2018
EFT-Tapping para principiantes,www.udemy.com/course/eft-tapping-para-principiantes/,Amalia Martinez,0.0,49.99,4.8(6 ratings),Desarrollo personal,Transformación personal,EFT,14,Español,Descubre como puedes liberar las emociones que te limitan y te preocupan en tu día a día,8/2018
Duygularınızı Özgür Bırakmayı Öğrenin | EFT Eğitimi Seti,www.udemy.com/course/eft-egitimi/,Meyra İlknur MISIR,74.99,11.39,4.2(26 ratings),Kişisel Gelişim,Kişisel Gelişim,EFT,109,Türkçe,Vücudunuzda tıkanıklığa uğrayan enerji akımlarını tıklama yoluyla normal hallerine geri döndürün.,12/2017
Εισαγωγή στο EFT για συναισθηματική απελευθέρωση,www.udemy.com/course/eft-greek-intro/,Ypatios Varelas,0.0,19.99,4.7(10 ratings),Personal Development,Stress Management,EFT,25,Greek,"Γνωρίστε το EFT. Απαλλαγή από τοξικά αρνητικά συναισθήματα για καλύτερη διάθεση, σωματική κατάσταση, σκέψη, συμπεριφορά.",3/2019
Acolhendo a Criança Interior Ferida para Evoluir na Vida,www.udemy.com/course/acolhendo-a-crianca-interior/,Cassia Fernandes,79.99,11.39,4.5(3 ratings),Desenvolvimento pessoal,Transformação pessoal,EFT,34,Português,Aprenda a identificar e libertar padrões limitantes causados na infância que estão impedindo a sua evolução.,12/2019
EFT Tapping Básico Para Principiantes,www.udemy.com/course/eft-tapping-basico-para-principiantes/,Carla Valencia,24.99,11.39,4.1(4 ratings),Desarrollo personal,Transformación personal,EFT,9,Español,""" Aprende la increíble técnica de autoayuda para curar la mente y el cuerpo.""",1/2019
Estado Zen: Saúde Emocional para Vida e Carreira,www.udemy.com/course/estado-zen-saude-emocional/,Cassia Fernandes,79.99,11.39,5.0(4 ratings),Desenvolvimento pessoal,Transformação pessoal,EFT,22,Português,Como tornar-se mais equilibrado num mundo desequilibrado,10/2019
Απελευθερώνοντας Σεξουαλικές Ενοχές,www.udemy.com/course/eftwithfotinihealingsexuality/,Fotini Kechagia,69.99,11.39,4.3(12 ratings),Personal Development,Personal Transformation,EFT,23,Greek,Θεραπεία EFT με τη Φωτεινή!,7/2018
Aktiver Vermögensaufbau mit ETF,www.udemy.com/course/aktiver-vermoegensaufbau/,Daniel Reither,19.99,11.39,3.9(25 ratings),Business,Finanzen,EFT,162,Deutsch,Wie du deine finanziellen Ziele erreichst und für deine Zukunft vorsorgst,11/2016
EFT Kursu,www.udemy.com/course/eft-kursu/,Bilal Semih Bozdemir,119.99,11.39,3.5(5 ratings),Kişisel Gelişim,Kişisel Gelişim, EFT,30,Türkçe,Emotional Freedom Technique - Duygusal Özgürleşme Tekniği,9/2018
Método de 3 passos fáceis para manifestar mais abundância,www.udemy.com/course/metodo-de-tres-passos-para-abundancia/,Taíze Souza,19.99,11.39,4.2(2 ratings),Desenvolvimento pessoal,Religião e espiritualidade,Chacra,16,Português,Aprenda a harmonizar a sua energia e manifestar um presente mais abundante,1/2019
EFT情緒療癒排毒講座和練習 (Tapping),www.udemy.com/course/caroleft/,Carol 嘉瑗 Lin 林,199.99,50.00,4.3(5 ratings),健康和保健,心理健康,EFT,17,Traditional Chinese,"立刻擺脫憤怒, 悲傷, 挫折, 焦慮 ... 負面情緒的壓力; 恢復你的元氣, 熱情, 和生命力!",4/2018
