Course,URL,instructor,Price (full),Price (discount),Rank,Instructor URL,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
Drawing and Painting on the iPad with Procreate,www.udemy.com/course/drawing-and-painting-on-the-ipad-with-procreate/,Brad Colbow,$19.99,$11.99,"Rating: 4.6 out of 54.6 - (7,048)","[(/user/brad-colbow/, Brad Colbow)]",Design,Design Tools,Digital Art,"27,572",English,Learn everything you need to know about Procreate with hands on drawing lessons. Now updated for Procreate 4.3.,8/2019,01/28/20
Wordpress for Beginners - Master Wordpress Quickly,www.udemy.com/course/wordpress-for-beginners-course/,Andrew Williams,$194.99,$13.79,"Rating: 4.5 out of 54.5 - (9,836)","[(/user/andrewwilliams17/, Andrew Williams)]",Design,Web Design,WordPress,"45,342",English,"In 2019, build a beautiful responsive Wordpress site that looks great on all devices. No experience required.",1/2020,01/28/20
Crash Course Electronics and PCB Design,www.udemy.com/course/crash-course-electronics-and-pcb-design/,Andre LaMothe,$99.99,$11.39,"Rating: 4.6 out of 54.6 - (3,313)","[(/user/andrelamothe/, Andre LaMothe)]",Design,Other,Electronics,"18,008",English,Learn Electronics and PCB Design from the Ground up with Altium CircuitMaker and Labcenter Proteus,11/2019,01/28/20
Adobe InDesign CC - Essentials Training Course,www.udemy.com/course/indesign-tutorial-basics-course/,"Daniel Walter Scott, Instructor HQ",$199.99,$11.39,"Rating: 4.7 out of 54.7 - (5,786)","[(/user/danielwalterscott/, Daniel Walter Scott), (/user/daniel-walter-scott/, Instructor HQ)]",Design,Graphic Design,InDesign,"24,835",English,"Build company newsletters, brochures, annual reports. Learn typography, color theory & graphic design skills in InDesign",11/2019,01/28/20
"UX & Web Design Master Course: Strategy, Design, Development",www.udemy.com/course/ux-web-design-master-course-strategy-design-development/,Joe Natoli,$194.99,$11.39,"Rating: 4.5 out of 54.5 - (9,702)","[(/user/joenatoli/, Joe Natoli)]",Design,User Experience,User Experience Design,"71,516",English,"Learn how to apply User Experience (UX) principles to your website designs, code a variety of sites, and increase sales!",9/2019,01/28/20
"Learn Photoshop, Web Design & Profitable Freelancing",www.udemy.com/course/learn-photoshop-web-design-profitable-freelancing/,Cristian Doru Barin,$199.99,$12.59,"Rating: 4.6 out of 54.6 - (4,615)","[(/user/barindoru/, Cristian Doru Barin)]",Design,Web Design,Photoshop,"36,005",English,"Learn Photoshop and use it to create amazing website designs and create a high, stable income. No coding needed!",12/2019,01/28/20
Graphic Design Bootcamp: Part 1,www.udemy.com/course/graphic-design-for-beginners/,Derrick Mitchell,$199.99,$16.19,"Rating: 4.5 out of 54.5 - (10,910)","[(/user/derrickmitchell3/, Derrick Mitchell)]",Design,Graphic Design, ,"75,658",English,"Bestselling Course! Project-Based Learning: Use Photoshop, Illustrator, and InDesign to create posters, logos, & more.",10/2019,01/28/20
Adobe Illustrator CC – Advanced Training Course,www.udemy.com/course/adobe-illustrator-cc-advanced-training/,"Daniel Walter Scott, Instructor HQ",$199.99,$11.39,"Rating: 4.7 out of 54.7 - (2,286)","[(/user/danielwalterscott/, Daniel Walter Scott), (/user/daniel-walter-scott/, Instructor HQ)]",Design,Graphic Design,Adobe Illustrator,"15,621",English,"In this Adobe Illustrator Advanced course we'll learn Advanced techniques for graphic design, logo design & illustration",11/2019,01/28/20
Environment Art School: Complete Perspective Drawing Course,www.udemy.com/course/perspective-art-school-environment-landscape-drawing-course/,Scott Harris,$199.99,$11.99,"Rating: 4.6 out of 54.6 - (1,220)","[(/user/54722fd1cda5b/, Scott Harris)]",Design,Other,Drawing,"12,110",English,"Learn How To Draw Landscapes, How to Draw Perspective, How to Draw Backgrounds and How to Draw Scenes and Create Worlds",12/2019,01/28/20
The Complete Graphic Design Theory for Beginners Course,www.udemy.com/course/graphic-design-theory-for-beginners-course/,"Lindsay Marsh, Jeremy Deighan",$179.99,$19.19,"Rating: 4.5 out of 54.5 - (2,459)","[(/user/lindsay-marsh/, Lindsay Marsh), (/user/jeremydeighan/, Jeremy Deighan)]",Design,Graphic Design,Design Theory,"15,070",English,"Learn Graphic Design Theory and the Basic Principles of Color Theory, Typography, Branding, Logo Design, Layout & More!",1/2020,01/28/20
Web Design for Beginners: Real World Coding in HTML & CSS,www.udemy.com/course/web-design-for-beginners-real-world-coding-in-html-css/,Brad Schiff,$129.99,$11.39,"Rating: 4.6 out of 54.6 - (7,799)","[(/user/bradschiff/, Brad Schiff)]",Design,Web Design,CSS,"30,173",English,"Launch a career as a web designer by learning HTML5, CSS3, responsive design, Sass, cross device compatibility and more!",11/2017,01/28/20
Manga Art School: Anime and Manga Character Drawing Course,www.udemy.com/course/manga-art-school-anime-and-manga-style-character-drawing/,Scott Harris,$199.99,$13.19,"Rating: 4.4 out of 54.4 - (1,821)","[(/user/54722fd1cda5b/, Scott Harris)]",Design,3D & Animation,Character Design,"14,637",English,Learn How to Draw Professional Japanese Manga and Anime Character Styles,12/2019,01/28/20
Anatomy for Figure Drawing: Mastering the Human Figure,www.udemy.com/course/anatomy-for-figure-drawing-and-comics/,Neil Fontaine,$94.99,$12.59,"Rating: 4.4 out of 54.4 - (3,333)","[(/user/neilfontaine/, Neil Fontaine)]",Design,Graphic Design,Figure Drawing,"48,920",English,This is what you need to learn in order to draw figures like a pro and land that dream job.,10/2019,01/28/20
Maya for Beginners: Complete Guide to 3D Animation in Maya,www.udemy.com/course/autodesk-maya-3d-animation-course/,"Video School Online Inc, Lucas Ridley",$199.99,$11.99,"Rating: 4.6 out of 54.6 - (2,324)","[(/user/phil-ebiner/, Video School Online Inc), (/user/lucasridley/, Lucas Ridley)]",Design,3D & Animation,Maya,"10,962",English,"Learn everything you need for 3D animation in Autodesk Maya: Modeling, Texturing, Lighting, Rigging, Animation, Dynamics",12/2018,01/28/20
Pixel Art Master Course - Beginner to Professional/Freelance,www.udemy.com/course/pixel-art-master-course/,Mislav Majdandžić,$199.99,$11.99,"Rating: 4.5 out of 54.5 - (2,316)","[(/user/mislav-majdandzic/, Mislav Majdandžić)]",Design,Game Design,Pixel Art,"12,535",English,Learn ALL about pixel art in an always growing course! Get access to basic and pro techniques with daily feedbacks!,12/2019,01/28/20
Graphic Design Masterclass: The Next Level,www.udemy.com/course/graphic-design-masterclass-the-next-level/,Lindsay Marsh,$179.99,$11.99,Rating: 4.4 out of 54.4 - (469),"[(/user/lindsay-marsh/, Lindsay Marsh)]",Design,Graphic Design, ,"8,249",English,"Up Your Graphic Design Skills- Real World Projects: Logo Design, Photo Manipulation, Package Design, Social Media & More",1/2020,01/28/20
Complete Beginner's Guide to Digital Art,www.udemy.com/course/digital-art-101-from-beginner-to-pro/,Rich Graysonn,$149.99,$11.99,"Rating: 4.2 out of 54.2 - (2,833)","[(/user/richgraysonn/, Rich Graysonn)]",Design,Graphic Design,Digital Art,"22,249",English,Master the foundations of digital drawing and illustration and create art like a pro,11/2019,01/28/20
Sketch from A to Z (2019): Become an app designer,www.udemy.com/course/learnsketch3/,Joseph Angelo Todaro,$149.99,$11.99,"Rating: 4.7 out of 54.7 - (5,453)","[(/user/josephangelotodaro/, Joseph Angelo Todaro)]",Design,Graphic Design,Mobile App Design,"20,090",English,Finally a comprehensive guide to using Sketch for designing mobile applications. Learn to design an app from A to Z.,10/2019,01/28/20
The Digital Painting MEGA Course: Beginner to Advanced,www.udemy.com/course/the-digital-painting-mega-course-beginner-to-advanced/,Austin Batchelor,$199.99,$11.99,"Rating: 4.6 out of 54.6 - (2,944)","[(/user/austin-batchelor/, Austin Batchelor)]",Design,Other,Digital Painting,"28,714", English,Learn the #1 most important skill for digital artists!,5/2018,01/28/20
Revit Architecture I Course Complete Beginners Training,www.udemy.com/course/revit-architecture-i/,Webelocity Designs,$199.99,$11.99,"Rating: 4.5 out of 54.5 - (1,193)","[(/user/jose-c-12/, Webelocity Designs)]",Design,Architectural Design,Revit,"9,854",English,Building Information Modeling: Autodesk Revit Training : BIM Autodesk Revit Software Tutorial: Revit Architecture 2019,1/2020,01/28/20
After Effects CC Masterclass: Learn After Effects Today!,www.udemy.com/course/after-effects-cc/,"Phil Ebiner, Video School Online Inc",$199.99,$11.99,"Rating: 4.5 out of 54.5 - (3,876)","[(/user/philipebiner2/, Phil Ebiner), (/user/phil-ebiner/, Video School Online Inc)]",Design,Design Tools,After Effects,"76,878",English,Learn After Effects CC to improve your videos with professional motion graphics and visual effects.,11/2019,01/28/20
After Effects - Motion Graphics & Data Visualization,www.udemy.com/course/animated-infographic-video-data-visualisation/,"Daniel Walter Scott, Instructor HQ",$194.99,$11.99,"Rating: 4.7 out of 54.7 - (2,540)","[(/user/danielwalterscott/, Daniel Walter Scott), (/user/daniel-walter-scott/, Instructor HQ)]",Design,3D & Animation,After Effects,"16,288",English,"Using Adobe After Effects create beautiful VFX Visual Effects, data visualization & VFX Compositing.",7/2019,01/28/20
Adobe Premiere Pro CC: Video Editing in Adobe Premiere Pro,www.udemy.com/course/adobe-premiere-pro-cc-2017-video-editing/,Louay Zambarakji,$199.99,$11.99,"Rating: 4.7 out of 54.7 - (3,031)","[(/user/ultimateresults/, Louay Zambarakji)]",Design,Design Tools,Adobe Premiere,"33,031",English,Learn Video Editing in Adobe Premiere Pro with Color Correction & Color Grading and Professional Video Editing practices,1/2019,01/28/20
Landing Page Design & Conversion Rate Optimization 2018,www.udemy.com/course/landing-page-design-best-practices/,Isaac Rudansky,$199.99,$11.99,"Rating: 4.7 out of 54.7 - (5,197)","[(/user/isaac-rudansky/, Isaac Rudansky)]",Design,Web Design,Landing Page Optimization,"30,582",English,Triple Your Conversion Rate With These Landing Page Design Principles & Build A Landing Page From Scratch With No Code,2/2019,01/28/20
Learn Figma - UI/UX Design Essential Training,www.udemy.com/course/learn-figma/,Caleb Kingston,$119.99,$11.99,"Rating: 4.5 out of 54.5 - (1,978)","[(/user/caleb-kingston/, Caleb Kingston)]",Design,User Experience,User Interface,"9,517",English,Learn how to design a beautiful and engaging mobile app with Figma. Learn-by-doing approach.,3/2019,01/28/20
How to Work with Interior Design Styles Like a Pro,www.udemy.com/course/learn-how-to-work-with-interior-design-styles-like-a-pro/,Erikka Fogleman,$199.99,$11.99,"Rating: 4.3 out of 54.3 - (2,730)","[(/user/erikka-fogleman/, Erikka Fogleman)]",Design,Interior Design, ,"14,244",English,Interior Design Styles Demystified,1/2020,01/28/20
Affinity Designer: The Complete Guide to Affinity Designer,www.udemy.com/course/affinity-designer-the-complete-guide-to-affinity-designer/,"Jeremy Hazel, Video School Online Inc",$199.99,$11.99,"Rating: 4.5 out of 54.5 - (1,908)","[(/user/22903096-39fd-48bb-838d-1e103f468d83/, Jeremy Hazel), (/user/phil-ebiner/, Video School Online Inc)]",Design,Design Tools,Affinity Designer,"13,300",English,You can start using Affinity Designer 1.7 today to design beautiful and professional graphics!,11/2019,01/28/20
DESIGN RULES: Principles + Practices for Great UI Design,www.udemy.com/course/design-rules/,Joe Natoli,$99.99,$11.99,"Rating: 4.6 out of 54.6 - (3,667)","[(/user/joenatoli/, Joe Natoli)]",Design,Web Design,User Interface,"14,995",English,"Learn to design powerful user interfaces for apps, sites and systems",5/2018,01/28/20
"Learn the Entire Affinity Suite: Photo, Designer & Publisher",www.udemy.com/course/learn-the-entire-affinity-suite-photo-designer-publisher/,"Jeremy Hazel, Lindsay Marsh",$199.99,$11.99,Rating: 4.5 out of 54.5 - (149),"[(/user/22903096-39fd-48bb-838d-1e103f468d83/, Jeremy Hazel), (/user/lindsay-marsh/, Lindsay Marsh)]",Design,Design Tools,Graphic Design,"1,836",English,"Master the Affinity Suite & Create: Logos, Books, Brochures, Posters, Brushes, Thumbnails, Learn Photo Editing and More!",1/2020,01/28/20
Blender 2.8 The complete guide from beginner to pro,www.udemy.com/course/blender-28-the-complete-guide-from-beginner-to-pro/,Julien Deville,$184.99,$11.99,Rating: 4.5 out of 54.5 - (843),"[(/user/deville-julien/, Julien Deville)]",Design,3D & Animation,3D Modeling,"4,864",English,over the new version of Blender in this complete training from beginner to advanced,6/2019,01/28/20
"The Complete App Design Course - UX, UI and Design Thinking",www.udemy.com/course/the-complete-app-design-course-ux-and-ui-design/,App Brewery Co.,$199.99,$11.99,"Rating: 4.4 out of 54.4 - (4,681)","[(/user/london-app-brewery/, App Brewery Co.)]",Design,User Experience,Mobile App Design,"24,344",English,"Learn App Design to Make Beautiful, Lovable Apps",11/2019,01/28/20
Adobe InDesign CC - Advanced Training Course,www.udemy.com/course/adobe-indesign-cc-advanced-training/,"Daniel Walter Scott, Instructor HQ",$199.99,$11.99,"Rating: 4.7 out of 54.7 - (1,091)","[(/user/danielwalterscott/, Daniel Walter Scott), (/user/daniel-walter-scott/, Instructor HQ)]",Design,Graphic Design,InDesign,"10,109",English,"This Adobe InDesign tutorial is people wanting to up-skill their typography, color theory & graphic design abilities.",11/2019,01/28/20
Visual Effects for Games in Unity - Beginner To Intermediate,www.udemy.com/course/vfx-for-games-in-unity-beginner-to-intermediate/,Gabriel Aguiar,$199.99,$11.99,Rating: 4.6 out of 54.6 - (525),"[(/user/gabriel-aguiar-3/, Gabriel Aguiar)]",Design,Game Design,Unity,"3,544",English,By the end of this course you will have started your own portfolio as a Triple-A Visual Effects artist for Games.,12/2019,01/28/20
InDesign CC 2020 MasterClass,www.udemy.com/course/indesign-cc-masterclass/,Martin Perhiniak,$199.99,$11.99,"Rating: 4.7 out of 54.7 - (1,277)","[(/user/martinperhiniak/, Martin Perhiniak)]",Design,Graphic Design,InDesign,"10,937",English,Master the Industry-leading Page Design and Layout Application,11/2019,01/28/20
Revit Architecture II Course Complete Intermediate Training,www.udemy.com/course/revit-architecture-intermediate/,Webelocity Designs,$199.99,$11.99,Rating: 4.4 out of 54.4 - (231),"[(/user/jose-c-12/, Webelocity Designs)]",Design,Architectural Design,Revit,"3,853",English,Building Information Modeling : Autodesk Revit Training : BIM Autodesk Revit Software Tutorial : Revit Architecture 2019,1/2020,01/28/20
Designing for 3D Printing with Fusion 360,www.udemy.com/course/designing-for-3d-printing-with-fusion-360/,Vladimir Mariano,$149.99,$11.99,"Rating: 4.6 out of 54.6 - (2,726)","[(/user/vladimir-mariano/, Vladimir Mariano)]",Design,3D & Animation,3D Printing,"9,818",English,Learn to design for 3D printing with my easy to follow video lessons using Fusion 360,11/2019,01/28/20
Sculpting in Zbrush,www.udemy.com/course/sculpting-in-zbrush/,Milivoj Popovic,$99.99,$11.99,Rating: 4.6 out of 54.6 - (669),"[(/user/milivoj-popovic/, Milivoj Popovic)]",Design,3D & Animation,zBrush,"3,507",English,Ultimate Zbrush 3d sculpting course for beginners/intermediate!,1/2020,01/28/20
Complete Beginner's Guide to Anatomy and Figure Drawing,www.udemy.com/course/anatomy-and-figure-drawing-for-games-and-comics/,Rich Graysonn,$149.99,$11.99,"Rating: 4.6 out of 54.6 - (2,207)","[(/user/richgraysonn/, Rich Graysonn)]",Design,Graphic Design,Figure Drawing,"16,045",English,Learn how to draw anatomy for complete beginners,11/2019,01/28/20
Blender 2.8 Game Character Creation,www.udemy.com/course/blender-28-game-character-creation/,Darrin Lile,$19.99,$11.99,Rating: 4.7 out of 54.7 - (699),"[(/user/darrinlile/, Darrin Lile)]",Design,Game Design,Blender,"4,038",English,Learn to Create Game Characters with Blender 2.8 and Unity,4/2019,01/28/20
Learn Blender 2.8,www.udemy.com/course/learn-blender-28/,Gustavo Rosa,$99.99,$11.99,Rating: 4.6 out of 54.6 - (357),"[(/user/gustavorosa2/, Gustavo Rosa)]",Design,3D & Animation,Blender,"1,863",English,Master the Fundamental Principles of Blender 2.8,10/2019,01/28/20
"Adobe CC Masterclass: Photoshop, Illustrator, XD & InDesign",www.udemy.com/course/adobe-cc-masterclass-graphic-design-photoshop-illustrator-xd-indesign/,"Lindsay Marsh, Jeremy Deighan",$179.99,$11.99,Rating: 4.6 out of 54.6 - (798),"[(/user/lindsay-marsh/, Lindsay Marsh), (/user/jeremydeighan/, Jeremy Deighan)]",Design,Design Tools,Adobe Illustrator,"10,020",English,"Learn graphic design today with Photoshop, Illustrator, Adobe XD, InDesign & more in this Adobe CC Masterclass!",1/2020,01/28/20
User Experience Design Fundamentals,www.udemy.com/course/user-experience-design-fundamentals/,Joe Natoli,$94.99,$11.99,"Rating: 4.3 out of 54.3 - (7,322)","[(/user/joenatoli/, Joe Natoli)]",Design,User Experience,User Experience Design,"67,256",English,Design Web Sites and Mobile Apps that Your Users Love and Return to Again and Again with UX Expert Joe Natoli.,12/2019,01/28/20
Become a Game Designer the Complete Series Coding to Design,www.udemy.com/course/become-a-game-designer/,[ School of Game Design ],$199.99,$11.99,"Rating: 4.2 out of 54.2 - (5,158)","[(/user/schoolofgamedesign/, [ School of Game Design ])]",Design,Game Design,Game Development Fundamentals,"48,429",English,"Learn Unity, 3D game design, 2D game design, coding, C#, game development, 3D animation, programming, Unity3D",12/2019,01/28/20
The Complete Drawing Masterclass: From Beginner to Advanced,www.udemy.com/course/complete-drawing-course/,"Chad Neuman, Ph.D., Jonathan Simon, BFA, MFA",$199.99,$11.99,Rating: 4.5 out of 54.5 - (250),"[(/user/chadneuman/, Chad Neuman, Ph.D.), (/user/jonathan-simon-17/, Jonathan Simon, BFA, MFA)]",Design,Graphic Design,Drawing,"9,097",English,"Apply the art and practice of the fundamental skill of drawing, to bring your drawings to life in our drawing course.",11/2019,01/28/20
Autodesk Revit - beginner to an intermediate level,www.udemy.com/course/autodesk-revit-for-beginners-up-to-intermediate-level/,S15 Studio,$49.99,$11.99,"Rating: 4.5 out of 54.5 - (1,491)","[(/user/steve-fagan/, S15 Studio)]",Design,Architectural Design,Revit,"5,849",English,"Everything you need to know to get started with Revit 2016, 2017, 2018, 2019 & 2020!",7/2018,01/28/20
How to Draw and Sketch for Absolute Beginners,www.udemy.com/course/drawing-and-sketching-for-beginners/,Rich Graysonn,"₩165,000","₩13,200","Rating: 4.4 out of 54.4 - (2,296)","[(/user/richgraysonn/, Rich Graysonn)]",Design,Graphic Design,Sketching,"12,597",English,Learn the Basics of Sketching and Drawing,11/2019,01/28/20
WordPress for Beginners: Create a Website Step by Step,www.udemy.com/course/wordpress-for-beginners-create-a-website-blog-step-by-step/,Brad Schiff,"₩93,500","₩13,200","Rating: 4.7 out of 54.7 - (2,401)","[(/user/bradschiff/, Brad Schiff)]",Design,Web Design,WordPress,"7,354",English,Create Websites and Blogs With Zero Experience Using WordPress and This Step By Step Guide,12/2018,01/28/20
Ultimate Guide to Digital Sketching: Beginner to Advanced,www.udemy.com/course/ultimate-guide-to-digital-sketching-beginner-to-advanced/,Austin Batchelor,"₩121,000","₩13,200","Rating: 4.4 out of 54.4 - (2,201)","[(/user/austin-batchelor/, Austin Batchelor)]",Design,Game Design,Digital Art,"26,085",English,Learn to digitally draw like a pro!,11/2019,01/28/20
Concept Art Character Design,www.udemy.com/course/concept-art-character-design/,Hardy Fowler,"₩165,000","₩13,200",Rating: 4.7 out of 54.7 - (191),"[(/user/hardyfowler/, Hardy Fowler)]",Design,Graphic Design,Concept Art,"1,945",English,Advanced Techniques and Portfolios that Succeed,9/2019,01/28/20
Learn 3D Animation - The Ultimate NEW BLENDER 2.8 Course A-Z,www.udemy.com/course/ultimateblendercourse/,Alex Cordebard,"₩220,000","₩13,200",Rating: 4.6 out of 54.6 - (712),"[(/user/alex-cordebard/, Alex Cordebard)]",Design,3D & Animation,3D Animation,"4,382",English,A-Z Guide to Learning 3D Animation in the NEW Blender 2.8!,5/2019,01/28/20
